Item_Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Diet Coke 1.5 ltr,Garlic Naan,Plain Rice,French Fries,Saag Aloo,Korma,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Garlic Naan,Saag Paneer,Bhindi Bhajee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Onion Naan,Meat Samosa,Mushroom Rice,Saag Aloo,COBRA (660ML),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Lal Mirch Chicken,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Onion Chutney,Plain Papadum,Chapati,Plain Rice,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Lamb Tikka Jalfrezi,Butter Chicken,Paneer Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Plain Rice,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Plain Naan,Aloo Gobi,Chana Masala,Saag Paneer,Chicken Karahi,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Peshwari Naan,Onion Bhajee,Mushroom Rice,Royal Paneer,Chicken Tikka Masala,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Naan,Pilau Rice,Lamb Karahi,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Mint Sauce,Lime Pickle,Spicy Papadum,Keema Naan,Mushroom Rice,Bombay Aloo,Vindaloo,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Onion Bhajee,Saag Dall,Bhuna,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Garlic Naan,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Onion Rice,Onion Bhajee,Mixed Starter,Curry,Madras,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Pilau Rice,Sheek Kebab,Lamb Roshni,Chicken Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Peshwari Naan,Pilau Rice,Sheek Kebab,Tandoori Chicken Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Paratha,Coke 1.5 ltr,Onion Bhajee,Special Fried Rice,Masala Sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meat Samosa,Saag Rice,Lemon Rice,Tarka Dall,Saag Paneer,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Stuffed Paratha,Royal Paneer,Vindaloo,Chicken Biryani,Butter Chicken,Lamb Biryani,Prawn Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Naan,Vegetable Rice,Mushroom Bhajee,Pathia,Tandoori Chicken Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muttar Paneer,Tandoori Fish,Vegetable Biryani,Persian Lamb Biryani,Persian Chicken Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Onion Chutney,Plain Papadum,Chapati,Plain Rice,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhindi Bhajee,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Mixed Vegetable Curry,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raitha,French Fries,COBRA (330ML),Madras,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Garlic Naan,Vegetable Rice,Mushroom Bhajee,Saag Aloo,Saag Paneer,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Bhajee,Royal Paneer,Persian Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Keema Naan,Onion Bhajee,Saag Rice,King Prawn Puree,Bombay Aloo,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Roti,Meat Samosa,Mushroom Rice,Aloo Gobi,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Naan,Vegetable Rice,King Prawn Puree,Aloo Gobi,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Onion Bhajee,Mushroom Rice,Chicken Balti,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Pilau Rice,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Vegetable Rice,Vegetable Roll,Cauliflower Bhajee,Saag Aloo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Bombay Aloo,Korma,Rogon,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Bhindi Bhajee,Tandoori Chicken (Main),Lamb Rezala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Rice,Mushroom Rice,Chicken Roshni,Vegetable Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Pilau Rice,Keema Naan,Onion Bhajee,Masala Sauce,Meat Samosa,Keema Rice,Sheek Kebab,Bombay Aloo,Aloo Gobi,Vindaloo,Curry,Chicken Tikka Chilli Masala,Sheek Kebab (Main),Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Plain Rice,Pilau Rice,King Prawn Butterfly,Saag Aloo,Vindaloo,Chicken Tikka Masala,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Pilau Rice,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Meat Samosa,Sheek Kebab,Saag Aloo,Tarka Dall,COBRA (660ML),Chicken Hari Mirch,Lamb Mysore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Puree,Meat Samosa,Onion Bhajee,Garlic Rice,Baingan Hari Mirch,Lal Mirch Chicken,Chicken Tikka Karahi,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Coke 1.5 ltr,Korma Sauce,Chicken Chaat,Mixed Vegetable Curry,COBRA (660ML),Chicken Tikka (Main),Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Tandoori Roti,Plain Rice,Coke 1.5 ltr,Korma Sauce,Chicken Chaat,Mixed Vegetable Curry,COBRA (660ML),Chicken Tikka (Main),Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Pilau Rice,Korma,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Peshwari Naan,Pilau Rice,Vegetable Rice,Pathia,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Peshwari Naan,Pilau Rice,Onion Bhajee,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Peshwari Naan,Pilau Rice,Vegetable Rice,Pathia,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Mushroom Rice,Aloo Gobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Meat Samosa,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Paratha,Pilau Rice,Plain Rice,Saag Paneer,Chicken Tikka Chilli Masala,Chicken Tikka Masala,Lal Mirch Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Biryani,Lamb Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Pilau Rice,Saag Aloo,Curry,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Naan,Plain Rice,Garlic Naan,Chicken Tikka,Cauliflower Bhajee,Bhuna,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Balti,Paneer Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Balti,Paneer Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Chicken Tikka (Main),Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Plain Papadum,Garlic Naan,Onion Rice,King Prawn Puree,Mixed Starter,Pathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Garlic Naan,Sheek Kebab,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Sheek Kebab,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Plain Rice,Vegetable Roll,Chicken Shashlick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Chicken Shashlick,Chicken Haryali,King Prawn Shaslick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulcha Naan,Onion Bhajee,Meat Samosa,Keema Rice,Garlic Rice,Onion Rice,Dhansak,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Plain Rice,Garlic Naan,Keema Naan,French Fries,Bhuna,Chicken Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Chapati,Pilau Rice,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Plain Rice,Garlic Naan,Sheek Kebab,Saag Aloo,Madras,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Sheek Kebab,Saag Aloo,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka Balti,Persian Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Korma,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Mushroom Rice,Bhuna,Dhansak,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Onion Chutney,Plain Papadum,Garlic Naan,Pilau Rice,Meat Samosa,French Fries,Keema Rice,Mixed Starter,Madras,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Meat Samosa,Masala Sauce,Keema Rice,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicken Tikka,Tandoori Fish,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Onion Chutney,Plain Papadum,Chapati,Plain Rice,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Peshwari Naan,Onion Bhajee,Meat Samosa,Saag Paneer,Bombay Aloo,Korma,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Naan,Peshwari Naan,Keema Naan,Kulcha Naan,Plain Rice,Diet Coke 1.5 ltr,Coke 1.5 ltr,Stuffed Paratha,Egg Paratha,COBRA (330ML),Still Water (750ml),Prier Water (750ml),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Garlic Naan,Onion Bhajee,Curry,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombay Aloo,Bhuna,Hazary Lamb Chilli Garlic,House Red wine 75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Meat Samosa,Chicken Tikka Jalfrezi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Tarka Dall,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Plain Rice,Vegetable Rice,Saag Paneer,Lamb Tikka Pasanda,Lamb Chilli Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Naan,Plain Rice,Curry,Lamb Tikka Jalfrezi,Lamb Tikka Biryani,Prawn Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Naan,Green Salad,Chicken Tikka Biryani,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Plain Rice,Onion Bhajee,Saag Paneer,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Plain Papadum,Garlic Naan,Mushroom Rice,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paratha,Pilau Rice,Mushroom Rice,Chicken Tikka Pasanda,Rogon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fried Rice,Lamb Tikka,COBRA (660ML),Lamb Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetable Roll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Onion Chutney,Raitha,Green Salad,Meat Samosa,Aloo Chaat,Tandoori Chicken (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Mushroom Rice,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Onion Chutney,Plain Papadum,Plain Naan,Plain Rice,Onion Bhajee,Egg Rice,Chicken Tikka Masala,Chicken Tikka Garlic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Rice,Sheek Kebab,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keema Naan,Kulcha Naan,Onion Bhajee,Keema Rice,Chicken Pakora,Bombay Aloo,Dhansak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Mango Chutney,Mint Sauce,Plain Papadum,Keema Naan,Pilau Rice,Coke 1.5 ltr,Mushroom Rice,Prawn Puree,Mixed Starter,Chicken Tikka Masala,Korma,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Onion Chutney,Spicy Papadum,Plain Papadum,Pilau Rice,Vindaloo Sauce,Chicken Tikka Jalfrezi,Lamb Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peshwari Naan,Pilau Rice,Mushroom Rice,Onion Bhajee,Chicken Tikka Masala,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Meat Samosa,Chicken Chaat,Bombay Aloo,Cauliflower Bhajee,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Raitha,Peshwari Naan,Saag Paneer,Madras,Lamb Tikka Karahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Rice,Keema Naan,Onion Bhajee,Keema Rice,Bombay Aloo,Tarka Dall,Chicken Tikka (Main),Bhuna,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Mint Sauce,Onion Chutney,Red Sauce,Plain Papadum,Spicy Papadum,Keema Naan,Pilau Rice,Madras Sauce,Keema Rice,Onion Bhajee,Bombay Aloo,Butter Chicken,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Onion Bhajee,Vegetable Roll,Chicken Chaat,Chicken Tikka Masala,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Spicy Papadum,Garlic Naan,Special Fried Rice,Vindaloo,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Naan,Plain Rice,Madras Sauce,Masala Sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Pilau Rice,Methi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puree,Pilau Rice,Sheek Kebab,Chicken Chaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Pilau Rice,Plain Rice,Onion Bhajee,Chicken Tikka Masala,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Mushroom Rice,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Pilau Rice,Onion Bhajee,Saag Paneer,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mushroom Rice,Prawn Puree,Aloo Gobi,Vindaloo,Prawn Balti,House Red wine 75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Meat Samosa,Madras,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Sauce,Plain Papadum,Plain Naan,Plain Rice,Onion Bhajee,Korma,Chicken Tikka Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mint Sauce,Pilau Rice,Lamb Tikka Jalfrezi,Butter Chicken,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garlic Naan,Pilau Rice,Aloo Gobi,Mushroom Bhajee,Saag Paneer,Chicken Tikka Masala,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kulcha Naan,Pilau Rice,Meat Samosa,Madras,Tandoori Mixed Grill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Plain Rice,Aloo Gobi,Curry,Saag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Keema Naan,Mushroom Rice,Mixed Starter,King Prawn Puree,Madras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Papadum,Plain Rice,Peshwari Naan,Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Keema Naan,Mixed Starter,Chicken Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Plain Rice,Meat Samosa,Korma Sauce,Chicken Tikka,Bhuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Bombay Aloo,Madras,Chicken Tikka (Main),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Mint Sauce,Lime Pickle,Red Sauce,Plain Papadum,Plain Naan,Pilau Rice,Meat Samosa,French Fries,Korma,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Keema Naan,Onion Bhajee,Special Fried Rice,COBRA (660ML),Korma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mango Chutney,Plain Rice,Bombay Aloo,Chicken Tikka Pasanda,Chicken Tikka Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Garlic Naan,Pilau Rice,Vegetable Rice,Sheek Kebab,Korma,Butter Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chapati,Garlic Naan,Pilau Rice,Butter Chicken,Lamb Shashlick Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tandoori Chicken (1/4),Chicken Biryani,House white wine 75cl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spicy Papadum,Pilau Rice,Saag Rice,Madras,Chicken Tikka Masala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Papadum,Keema Naan,Onion Bhajee,Onion Rice,Chicken Chaat,Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Keema Naan,Onion Naan,Rogon,Korma,Vegetable Biryani,Chicken Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onion Chutney,Red Sauce,Mint Sauce,Plain Papadum,Chapati,Plain Rice,Dupiaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilau Rice,Madras,Chicken Tikka Pasanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lime Pickle,Mango Chutney,Green Salad,Bengal Salad,Lemon Rice,Royal Paneer,Lamb Tikka (Main),Chicken Shashlick,Chicken Achar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plain Naan,Onion Naan,Vindaloo,Lamb Biryani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
